"","quantity","truth","N","ICC","rsr","assumed","estimator","value"
"191","ISEL","Gaussian","N = 50","ICC = 0.9","R = 1","DP-diffuse","CB",0.0064927833081451
"192","ISEL","Gaussian","N = 50","ICC = 0.9","R = 1","DP-diffuse","GR",0.00434849703962674
"193","ISEL","Gaussian","N = 50","ICC = 0.9","R = 5","Gaussian","ML",0.00631494814400127
"194","ISEL","Gaussian","N = 50","ICC = 0.9","R = 5","Gaussian","PM",0.00627812886288209
"195","ISEL","Gaussian","N = 50","ICC = 0.9","R = 5","Gaussian","CB",0.00539905756386866
"196","ISEL","Gaussian","N = 50","ICC = 0.9","R = 5","Gaussian","GR",0.00400250805134128
"197","ISEL","Gaussian","N = 50","ICC = 0.9","R = 5","T","ML",0.00631494814400127
"198","ISEL","Gaussian","N = 50","ICC = 0.9","R = 5","T","PM",0.00673369863355975
"199","ISEL","Gaussian","N = 50","ICC = 0.9","R = 5","T","CB",0.00559709045418424
"200","ISEL","Gaussian","N = 50","ICC = 0.9","R = 5","T","GR",0.00410595676221045
"201","ISEL","Gaussian","N = 50","ICC = 0.9","R = 5","DP-diffuse","ML",0.00631494814400127
"202","ISEL","Gaussian","N = 50","ICC = 0.9","R = 5","DP-diffuse","PM",0.00701272146109493
"203","ISEL","Gaussian","N = 50","ICC = 0.9","R = 5","DP-diffuse","CB",0.00626810327711616
"204","ISEL","Gaussian","N = 50","ICC = 0.9","R = 5","DP-diffuse","GR",0.00449268437528719
"205","ISEL","Gaussian","N = 50","ICC = 0.9","R = 10","Gaussian","ML",0.00865692801457571
"206","ISEL","Gaussian","N = 50","ICC = 0.9","R = 10","Gaussian","PM",0.00773396651112777
"207","ISEL","Gaussian","N = 50","ICC = 0.9","R = 10","Gaussian","CB",0.00671322233990457
"208","ISEL","Gaussian","N = 50","ICC = 0.9","R = 10","Gaussian","GR",0.00466372641300788
"209","ISEL","Gaussian","N = 50","ICC = 0.9","R = 10","T","ML",0.00865692801457571
"210","ISEL","Gaussian","N = 50","ICC = 0.9","R = 10","T","PM",0.00818494107164406
"211","ISEL","Gaussian","N = 50","ICC = 0.9","R = 10","T","CB",0.00689442602383706
"212","ISEL","Gaussian","N = 50","ICC = 0.9","R = 10","T","GR",0.00474639223037738
"213","ISEL","Gaussian","N = 50","ICC = 0.9","R = 10","DP-diffuse","ML",0.00865692801457571
"214","ISEL","Gaussian","N = 50","ICC = 0.9","R = 10","DP-diffuse","PM",0.00863268858154412
"215","ISEL","Gaussian","N = 50","ICC = 0.9","R = 10","DP-diffuse","CB",0.0078038565250856
"216","ISEL","Gaussian","N = 50","ICC = 0.9","R = 10","DP-diffuse","GR",0.00552798431082858
"217","ISEL","Gaussian","N = 100","ICC = 0.1","R = 1","Gaussian","ML",0.323227131103168
