"","truth","N","ICC","rsr","assumed","estimator","tail_p","quantile","diff"
"157","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","CB","0.25",0.3372,0.0872
"158","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","CB","0.5",0.522,0.022
"159","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","CB","0.75",0.7152,-0.0348
"160","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","CB","0.9",0.828800000000001,-0.0712
"161","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","CB","0.95",0.8784,-0.0716
"162","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","GR","0.05",0.1352,0.0852
"163","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","GR","0.1",0.192,0.092
"164","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","GR","0.25",0.3272,0.0772
"165","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","GR","0.5",0.5224,0.0224
"166","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","GR","0.75",0.7148,-0.0352
"167","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","GR","0.9",0.8356,-0.0644
"168","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","GR","0.95",0.886,-0.064
"169","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","ML","0.05",0.2876,0.2376
"170","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","ML","0.1",0.3348,0.2348
"171","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","ML","0.25",0.4068,0.1568
"172","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","ML","0.5",0.4944,-0.0056
"173","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","ML","0.75",0.5932,-0.1568
"174","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","ML","0.9",0.6748,-0.2252
"175","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","ML","0.95",0.716,-0.234
"176","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","PM","0.05",0.0164,-0.0336
"177","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","PM","0.1",0.0292,-0.0708
"178","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","PM","0.25",0.1404,-0.1096
"179","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","PM","0.5",0.5304,0.0304
"180","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","PM","0.75",0.8932,0.1432
"181","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","PM","0.9",0.9784,0.0784
"182","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","PM","0.95",0.9872,0.0372
"183","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","CB","0.05",0.072,0.022
"184","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","CB","0.1",0.1188,0.0188
"185","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","CB","0.25",0.2536,0.0036
"186","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","CB","0.5",0.5116,0.0116
"187","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","CB","0.75",0.7708,0.0208
"188","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","CB","0.9",0.9028,0.0028
"189","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","CB","0.95",0.9436,-0.0064
"190","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","GR","0.05",0.0656,0.0156
"191","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","GR","0.1",0.1044,0.0044
"192","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","GR","0.25",0.2424,-0.0076
"193","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","GR","0.5",0.5164,0.0164
"194","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","GR","0.75",0.7824,0.0324
"195","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","GR","0.9",0.9072,0.0072
"196","Gaussian","N = 25","ICC = 0.1","R = 10","Gaussian","GR","0.95",0.9432,-0.0068
"197","Gaussian","N = 25","ICC = 0.1","R = 10","T","ML","0.05",0.2876,0.2376
"198","Gaussian","N = 25","ICC = 0.1","R = 10","T","ML","0.1",0.3348,0.2348
"199","Gaussian","N = 25","ICC = 0.1","R = 10","T","ML","0.25",0.4068,0.1568
"200","Gaussian","N = 25","ICC = 0.1","R = 10","T","ML","0.5",0.4944,-0.0056
"201","Gaussian","N = 25","ICC = 0.1","R = 10","T","ML","0.75",0.5932,-0.1568
"202","Gaussian","N = 25","ICC = 0.1","R = 10","T","ML","0.9",0.6748,-0.2252
"203","Gaussian","N = 25","ICC = 0.1","R = 10","T","ML","0.95",0.716,-0.234
"204","Gaussian","N = 25","ICC = 0.1","R = 10","T","PM","0.05",0.0144,-0.0356
"205","Gaussian","N = 25","ICC = 0.1","R = 10","T","PM","0.1",0.0296,-0.0704
"206","Gaussian","N = 25","ICC = 0.1","R = 10","T","PM","0.25",0.1412,-0.1088
"207","Gaussian","N = 25","ICC = 0.1","R = 10","T","PM","0.5",0.526,0.026
"208","Gaussian","N = 25","ICC = 0.1","R = 10","T","PM","0.75",0.8952,0.1452
"209","Gaussian","N = 25","ICC = 0.1","R = 10","T","PM","0.9",0.9784,0.0784
"210","Gaussian","N = 25","ICC = 0.1","R = 10","T","PM","0.95",0.9876,0.0376
"211","Gaussian","N = 25","ICC = 0.1","R = 10","T","CB","0.05",0.0724,0.0224
"212","Gaussian","N = 25","ICC = 0.1","R = 10","T","CB","0.1",0.12,0.02
"213","Gaussian","N = 25","ICC = 0.1","R = 10","T","CB","0.25",0.2544,0.0044
"214","Gaussian","N = 25","ICC = 0.1","R = 10","T","CB","0.5",0.5128,0.0128
"215","Gaussian","N = 25","ICC = 0.1","R = 10","T","CB","0.75",0.7612,0.0112
"216","Gaussian","N = 25","ICC = 0.1","R = 10","T","CB","0.9",0.9036,0.0036
"217","Gaussian","N = 25","ICC = 0.1","R = 10","T","CB","0.95",0.9384,-0.0116
"218","Gaussian","N = 25","ICC = 0.1","R = 10","T","GR","0.05",0.0636,0.0136
"219","Gaussian","N = 25","ICC = 0.1","R = 10","T","GR","0.1",0.1044,0.0044
