"","truth","N","ICC","rsr","assumed","df","fname","dg_name"
"180","T",25,0.9,10,"DP-EB",5,"T_25_0.9_10_DP-EB","T_25_0.9_10"
"181","T",50,0.1,1,"Gaussian",5,"T_50_0.1_1_Gaussian","T_50_0.1_1"
"182","T",50,0.1,1,"T",5,"T_50_0.1_1_T","T_50_0.1_1"
"183","T",50,0.1,1,"DP-diffuse",5,"T_50_0.1_1_DP-diffuse","T_50_0.1_1"
"184","T",50,0.1,1,"DP-EB",5,"T_50_0.1_1_DP-EB","T_50_0.1_1"
"185","T",50,0.1,5,"Gaussian",5,"T_50_0.1_5_Gaussian","T_50_0.1_5"
"186","T",50,0.1,5,"T",5,"T_50_0.1_5_T","T_50_0.1_5"
"187","T",50,0.1,5,"DP-diffuse",5,"T_50_0.1_5_DP-diffuse","T_50_0.1_5"
"188","T",50,0.1,5,"DP-EB",5,"T_50_0.1_5_DP-EB","T_50_0.1_5"
"189","T",50,0.1,10,"Gaussian",5,"T_50_0.1_10_Gaussian","T_50_0.1_10"
"190","T",50,0.1,10,"T",5,"T_50_0.1_10_T","T_50_0.1_10"
"191","T",50,0.1,10,"DP-diffuse",5,"T_50_0.1_10_DP-diffuse","T_50_0.1_10"
"192","T",50,0.1,10,"DP-EB",5,"T_50_0.1_10_DP-EB","T_50_0.1_10"
"193","T",50,0.5,1,"Gaussian",5,"T_50_0.5_1_Gaussian","T_50_0.5_1"
"194","T",50,0.5,1,"T",5,"T_50_0.5_1_T","T_50_0.5_1"
"195","T",50,0.5,1,"DP-diffuse",5,"T_50_0.5_1_DP-diffuse","T_50_0.5_1"
"196","T",50,0.5,1,"DP-EB",5,"T_50_0.5_1_DP-EB","T_50_0.5_1"
"197","T",50,0.5,5,"Gaussian",5,"T_50_0.5_5_Gaussian","T_50_0.5_5"
"198","T",50,0.5,5,"T",5,"T_50_0.5_5_T","T_50_0.5_5"
"199","T",50,0.5,5,"DP-diffuse",5,"T_50_0.5_5_DP-diffuse","T_50_0.5_5"
"200","T",50,0.5,5,"DP-EB",5,"T_50_0.5_5_DP-EB","T_50_0.5_5"
"201","T",50,0.5,10,"Gaussian",5,"T_50_0.5_10_Gaussian","T_50_0.5_10"
"202","T",50,0.5,10,"T",5,"T_50_0.5_10_T","T_50_0.5_10"
"203","T",50,0.5,10,"DP-diffuse",5,"T_50_0.5_10_DP-diffuse","T_50_0.5_10"
"204","T",50,0.5,10,"DP-EB",5,"T_50_0.5_10_DP-EB","T_50_0.5_10"
"205","T",50,0.9,1,"Gaussian",5,"T_50_0.9_1_Gaussian","T_50_0.9_1"
